,德福陽企業社,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07310000037346&agencyCode=376430000A
99001741,東昇磚廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000001053&agencyCode=376430000A
99002990,廣益塑膠加工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000056352&agencyCode=376430000A
99004494,合成塑膠工業社,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000002749&agencyCode=376430000A
99006532,東聖木器工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000003995&agencyCode=376430000A
99006862,三福實業廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000004205&agencyCode=376430000A
99007417,永隆染織廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000004540&agencyCode=376430000A
99009473,富鼎電鍍工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000005803&agencyCode=376430000A
99009865,葉財記窯業工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000006049&agencyCode=376430000A
99010366,瑞昌鐵工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000006369&agencyCode=376430000A
