,台豐企業社,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=08010000324470&agencyCode=376420000A
99000033,鴻興製材工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000000027&agencyCode=376420000A
99000429,廣益鋸木工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000000266&agencyCode=376420000A
99001006,利澤製磚工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000000610&agencyCode=376420000A
99002846,宜蘭縣頭城鎮農會飼料加工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000001755&agencyCode=376420000A
99004574,進達汽車修配廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000002806&agencyCode=376420000A
99005197,信元木業工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000003185&agencyCode=376420000A
99008797,和興鋸木工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000005383&agencyCode=376420000A
99013931,新順發食品工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000008543&agencyCode=376420000A
99014736,協發冷凍廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=06010000046521&agencyCode=376420000A
