,臺灣學誠股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07910004051486&agencyCode=376440000A
04000026,登自動化股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=09910004600085&agencyCode=376440000A
04000159,增一生物科技開發實業股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=10110004600054&agencyCode=376440000A
95100532,富創得科技股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=95100532&agencyCode=339010000G
95A00610,傑倫科技股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=95A00610&agencyCode=339010000G
99000085,大行化學工業股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000000061&agencyCode=376440000A
99000614,新巧股份有限公司湖口茶廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000000376&agencyCode=376440000A
99000619,新巧股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000000379&agencyCode=376440000A
99003887,建新製茶工廠股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000002407&agencyCode=376440000A
99004610,誠富攝影企業股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000002831&agencyCode=376440000A
