,純陽企業股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07110000068407&agencyCode=376480000A
99,成富興業股份有限公司南投廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07410000000151&agencyCode=376480000A
99000004,東寧物產股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000000004&agencyCode=376480000A
99000208,神農化學實業股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000000128&agencyCode=376480000A
99002405,泰興食品工業股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000001466&agencyCode=376480000A
99004526,集集製糖股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000002772&agencyCode=376480000A
99008877,臺灣農林股份有限公司魚池茶場鹿蒿工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000005435&agencyCode=376480000A
99010352,桂勵企業股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000006360&agencyCode=376480000A
99011739,恆成手工業股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000007257&agencyCode=376480000A
99012580,和發建材瓦工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000007769&agencyCode=376480000A
