,翔瀚工業股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07710000254924&agencyCode=376480000A
99076410,力震股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=08010000000763&agencyCode=376480000A
99096251,帝賓工業股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07610000001000&agencyCode=376480000A
99098081,普立橡膠股份有限公司籌備處,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07710000000694&agencyCode=376480000A
99099371,隆勤包裝科技股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07810000162793&agencyCode=376480000A
99147970,廣華鑽石工業股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07910008000216&agencyCode=376480000A
99172175,誠鉅工業股份有限公司南投廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07310008000296&agencyCode=376480000A
99178056,鞍茂企業股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=08510008000230&agencyCode=376480000A
