,巨擘科技股份有限公司區外分公司銅鑼廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=08910000901501&agencyCode=376450000A
05000006,寶琳工業股份有限公司龍騰廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=09910005600060&agencyCode=376450000A
05000069,信荃酒品股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=10010005600056&agencyCode=376450000A
05000073,吉佳科技股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=10110005600003&agencyCode=376450000A
95A00482,統寶光電股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=95A00482&agencyCode=339010000G
95A00494,台灣微型影像股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=95A00494&agencyCode=339010000G
95A00523,悠景科技股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=95A00523&agencyCode=339010000G
95A00590,台灣元生生物科技股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=95A00590&agencyCode=339010000G
95A00652,智寶科技股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=95A00652&agencyCode=339010000G
95A00656,揚信科技股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=95A00656&agencyCode=339010000G
