,進步企業商行,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=09210018600012&agencyCode=376580000A
90065900,源珍食品加工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=00010018006590&agencyCode=376580000A
99000271,台新建材工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=00010018000271&agencyCode=376580000A
99000493,行政院國軍退除役官兵輔導委員會新竹彈藥處理工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=00010018000493&agencyCode=376580000A
99001148,志成企業廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=00010018001148&agencyCode=376580000A
99001552,榮成印刷廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=00010018001552&agencyCode=376580000A
99002129,大通電器廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=00010018002129&agencyCode=376580000A
99002222,華美電器廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=00010018002222&agencyCode=376580000A
99003049,福記電器廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=00010018003049&agencyCode=376580000A
99003980,同信商行,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=00010018003980&agencyCode=376580000A
