,台義企業行,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=08810012030866&agencyCode=383100000G
64000796,高雄第一鐵工廠︹８３、９、１０註銷︺,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=5964078778&agencyCode=383100000G
64000819,裕漢水產廠︹８３、１２、３１註銷︺,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=6400081900&agencyCode=383100000G
64000945,遠東船舶服務中心附設工廠(９９．１１．２５申請註銷),http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=5964056853&agencyCode=383100000G
64001343,青山鐵工廠︹８２、１１、２７註銷︺,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=6264003923&agencyCode=383100000G
64003133,大興鐵工廠︹８２、４、２０註銷︺,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=6964039249&agencyCode=383100000G
64003667,震昇鐵工廠（８６年１０月２７日申請註銷）,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=7264038285&agencyCode=383100000G
64003765,立大企業行︹７９、９、２０註銷︺,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=7364037694&agencyCode=383100000G
64004257,滿玉商行︵停工至８９年４月２７日止︶,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=7664106807&agencyCode=383100000G
64004407,正合機器廠︹８３、８、３註銷︺,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=7564389560&agencyCode=383100000G
