,禾津企業有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=09110014600004&agencyCode=376540000A
14000001,賀擇實業有限公司台東廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=09910014600042&agencyCode=376540000A
14000003,瑞晟砂石有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=10010014600002&agencyCode=376540000A
99666301,久明企業有限公司大武廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=09010014800004&agencyCode=376540000A
99666313,鑫建誠食品工業有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=08510014401968&agencyCode=376540000A
99666318,東煌冷凍有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07610000116287&agencyCode=376540000A
99666319,東陽建材實業有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=09010014600003&agencyCode=376540000A
99666322,志鼎企業有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=08010014080194&agencyCode=376540000A
99666325,銓陞鋼鐵有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07710014269354&agencyCode=376540000A
99666330,昕威實業有限公司台東廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07210014018988&agencyCode=376540000A
