,松美企業社,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=08710011310936&agencyCode=376610000A
99000801,信和化工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=99910099000044&agencyCode=376610000A
99002591,美安被服廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=0AA99999000076&agencyCode=376610000A
99002656,新峰工業所,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=0AA99999000079&agencyCode=376610000A
99002661,連發磚工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=99910099000129&agencyCode=376610000A
99002675,金龍工藝社,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=0AA99999000081&agencyCode=376610000A
99002771,美山農產物加工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=99910099000134&agencyCode=376610000A
99002797,官田製粉廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=99910099000137&agencyCode=376610000A
99003203,建安木廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=99910099000158&agencyCode=376610000A
99003372,鹽水製冰廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=99910099000169&agencyCode=376610000A
