,永裕電化工業股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=06410006146276&agencyCode=376590000A
99000039,台之實業股份有限公司第二廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000630106&agencyCode=376590000A
99000040,順益化學股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=06310006058982&agencyCode=376590000A
99000136,裕豐木材行,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=08410006060108&agencyCode=376590000A
99000557,萬枝製瓦工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=04210006003735&agencyCode=376590000A
99000708,廣榮橡股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=06610006018020&agencyCode=376590000A
99000757,松永碾米工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=04210006033685&agencyCode=376590000A
99000953,台中縣和平鄉農會,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05610006042337&agencyCode=376590000A
99001135,林務局大甲林區管理處豐原製材工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=08410006113500&agencyCode=376590000A
99002367,臺灣省政府農林廳林務局東勢林區管理處,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=06810006002367&agencyCode=376590000A
