,大富紙器企業社,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07610006140230&agencyCode=376590000A
99000000,豐富鐵工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=06810006018010&agencyCode=376590000A
99000000,合利金屬壓鑄廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07010006053057&agencyCode=376590000A
99003904,慧瑩工業股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05910006003284&agencyCode=376590000A
99004064,全興木業工廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=06910006083366&agencyCode=376590000A
99006577,泰源木行,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07310006062994&agencyCode=376590000A
99006761,一新工業股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07310006017957&agencyCode=376590000A
99006881,盛豐實業股份有限公司,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=04410006009552&agencyCode=376590000A
99008550,雙聯鑄造廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=07210006143247&agencyCode=376590000A
99011371,建成磚廠,http://gcis.nat.gov.tw/Fidbweb/factInfoAction.do?method=detail&estbid=05810000600090&agencyCode=376590000A
